section,level_0,level_1,level_2,value
user_metadata,,,run_id,run01
user_metadata,,,enzyme,NlaIII
user_metadata,,,biospecimen,G7624
user_metadata,,,refgenome_id,Cavpor3.0
user_metadata,,,phase_set_id,unphased
reads,,count,all,1471592
reads,,count,concatemer,1070116
reads,,count,fail_filter,401476
reads,,perc,all,100
reads,,perc,concatemer,72.71825342893955
reads,,perc,fail_filter,27.281746571060456
read_length,,N50,all,6898
read_length,,N50,concatemer,7691
bases,,bases,all,5252055823
bases,,bases,concatemer,4758462472
bases,,bases,fail_filter,493593351
bases,,perc,all,100
bases,,perc,concatemer,90.60190204303547
bases,,perc,fail_filter,9.398097956964538
contacts,direct,count,contacts,4265953
contacts,direct,count,cis_contacts,796541
contacts,direct,count,trans_contacts,3469412
contacts,direct,count,short_range_cis_contacts,451766
contacts,direct,count,long_range_cis_contacts,344775
contacts,direct,perc,contacts,100
contacts,direct,perc,cis_contacts,18.672052880095023
contacts,direct,perc,trans_contacts,81.32794711990498
contacts,direct,perc,short_range_cis_contacts,10.590036974153255
contacts,direct,perc,long_range_cis_contacts,8.082015905941766
contacts,indirect,count,contacts,15921485
contacts,indirect,count,cis_contacts,2883261
contacts,indirect,count,trans_contacts,13038224
contacts,indirect,count,short_range_cis_contacts,1923468
contacts,indirect,count,long_range_cis_contacts,959793
contacts,indirect,perc,contacts,100
contacts,indirect,perc,cis_contacts,18.109246719134553
contacts,indirect,perc,trans_contacts,81.89075328086545
contacts,indirect,perc,short_range_cis_contacts,12.080958528679957
contacts,indirect,perc,long_range_cis_contacts,6.028288190454596
contacts,total,count,contacts,20187438
contacts,total,count,cis_contacts,3679802
contacts,total,count,trans_contacts,16507636
contacts,total,count,short_range_cis_contacts,2375234
contacts,total,count,long_range_cis_contacts,1304568
contacts,total,perc,contacts,100
contacts,total,perc,cis_contacts,18.228177344742804
contacts,total,perc,trans_contacts,81.7718226552572
contacts,total,perc,short_range_cis_contacts,11.765901151002915
contacts,total,perc,long_range_cis_contacts,6.462276193739889
density,,contacts_per_gb,all,3843721.14089009
density,,contacts_per_gb,concatemer,4242428.7506285915
concatemer_order,,count,2,298552
concatemer_order,,count,3,216237
concatemer_order,,count,4,146493
concatemer_order,,count,5-6,174694
concatemer_order,,count,7-11,165685
concatemer_order,,count,12-21,58729
concatemer_order,,count,22-50,9247
concatemer_order,,count,gt_50,479
concatemer_order,,perc,2,27.899031506864674
concatemer_order,,perc,3,20.206874768716663
concatemer_order,,perc,4,13.689450489479645
concatemer_order,,perc,5-6,16.324772267679393
concatemer_order,,perc,7-11,15.482900919152689
concatemer_order,,perc,12-21,5.488096617562956
concatemer_order,,perc,22-50,0.8641119280526598
concatemer_order,,perc,gt_50,0.044761502491318696
